id,acronym,name,url
1,ADSI,Administração de Dados e Sistemas de Informação,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332819
2,AGISIt,Administração e Gestão de Infraestruturas e Serviços de It,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332822
3,AASMA,Agentes Autónomos e Sistemas Multi-Agente,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332796
4,AAva,Algoritmos Avançados,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778794
5,ALC,Algoritmos para Lógica Computacional,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778790
6,AmbInt,Ambientes Inteligentes,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332815
7,AVT,Animação e Visualização Tridimensional,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332799
8,AID,Análise e Integração de Dados,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778812
9,ACIC,Aplicações e Computação para a Internet das Coisas,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332813
10,Apre,Aprendizagem Profunda (Dei),https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778799
11,AS,Arquitectura de Software,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778807
12,AEmp,Arquitetura Empresarial,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332824
15,BioComp,Biologia Computacional,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778797
16,CSF,Ciber Segurança Forense,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/845953938490320
17,CD,Ciência de Dados,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778798
18,CRC,Ciência de Redes Complexas,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778792
19,CCEIC-I,Competências Comunicacionais em Engenharia Informática e de Computadores I,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332830
20,CCEIC-II,Competências Comunicacionais em Engenharia Informática e de Computadores II,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332831
21,CC,Computabilidade e Complexidade,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778793
22,CGJ,Computação Gráfica para Jogos,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332805
23,CMU,Computação Móvel e Ubíqua,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332816
24,CPD,Computação Paralela e Distribuída,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778795
25,CV,Computação Visual,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332802
26,CNV,Computação em Nuvem e Virtualização,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778814
27,CCU,Conceção Centrada no Utilizador,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332800
28,CPS,Criptografia e Protocolos de Segurança,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778804
29,DDRS,Desempenho e Dimensionamento de Redes e Sistemas,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332826
30,DAD,Desenvolvimento de Aplicações Distribuídas,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332821
31,DJ,Design de Jogos,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332806
33,ESLE,Engenharia de Sistema de Larga Escala,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332827
34,ETPN,Engenharia e Tecnologia de Processos de Negócio,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332817
35,EspSoft,Especificação de Software,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778808
36,EDI,Estúdio de Design de Interação,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332814
37,FSI,Fundamentos de Sistemas de Informação,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332823
38,GPI,Gestão de Projectos Informáticos,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778809
39,IEmp,Integração Empresarial,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332820
40,IAJ,Inteligência Artificial para Jogos,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332807
41,IR,Introdução à Robótica,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332809
42,LP,Linguagens de Programação,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778796
43,LN,Língua Natural,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332794
44,MDJ,Metodologia de Desenvolvimento de Jogos,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332808
49,PADI,Planeamento, Aprendizagem e Decisão Inteligente,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332795
50,PF,Processamento da Fala,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332825
51,PIV,Processamento de Imagem e Visão,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332810
52,PRI,Processamento e Recuperação de Informação,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332818
53,PP,Procura e Planeamento,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332797
54,PCM,Produção de Conteúdos Multimédia,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332803
55,P3D,Programação 3D,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332804
56,PAva,Programação Avançada,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778810
58,RV,Realidade Virtual,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332801
59,RCR,Representação do Conhecimento e Raciocínio,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332798
60,RSIHR,Robótica Social e Interação Humanos-Robôs,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332811
61,SIRS,Segurança Informática em Redes e Sistemas,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778803
62,GSI,Segurança e Gestão de Sistemas de Informação,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778805
63,SSof,Segurança em Software,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778802
64,SRM,Sistemas Robóticos em Manipulação,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332812
65,SEC,Sistemas de Elevada Confiabilidade,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778806
66,TIDB,Tecnologias de Informação e Decisão Biomédica,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778800
67,TVS,Teste e Validação de Software,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778811
68,VI,Visualização de Informação,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778813

13,,Atividades Extracurriculares I,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/845953938490303
14,,Atividades Extracurriculares II,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/845953938490304
32,,Dissertação de Mestrado em Engenharia Informática e de Computadores,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/845953938490309
45,,Opção Livre 1,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1972468025655362
46,,Opção Livre 2,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1972468025655364
47,,Opção Livre 3,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/846568118812688
48,,Opção Livre 4,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/846568118812689
57,,Projecto Integrador de 2º Ciclo em Engenharia Informática e de Computadores,https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332829